ID,Type,Message,Condition,Sticky
-1,FAULT,Unknown Fault,Only if there is an unknown fault code that is published.,false
0,WARN,Unknown Warning,Only if there Is an unknown warning code that is published.,false
1,FAULT,Websocket Initial Connection Failure,Unable to open a connection to the shore server,false
2,FAULT,Websocket Connection Closed,The websocket connection unexpectadely closed,false
3,WARN,Websocket Is Not Initally Opened Yet,Websocket is still waiting to be opened,true
4,FAULT,Websocket Closed,Websocket is reported as no longer open,true
10,FAULT,CAN Motor Node Shutdown,If the motor node has to shutdown due to a fatal error.,true
11,FAULT,"""can0"" Interface Not Up",If `ip link status can0` does not have `status UP`,true
12,WARN,Invalid CAN Packet Read,A `canerror` was thrown by the underlying `canopen` library,false
13,WARN,Error reading CAN SDO,Caused by an invalid CAN SDO,false
14,FAULT,Failed CAN Network Init,Failed to initialize `canopen.Network()`,true
15,FAULT,Serial device does not exist,Failed to open a serial device because it doesn't exist, true
16,FAULT,Generic Serial Device Error,There was some kind of generic serial device error tht could not be attributed to a single error, false
17,FAULT,Serial Device In-Use,The serial device is in use and is locked, true
18,FAULT,Serial Device IO Error,There was an IO error thrown when trying to read from the serial device, false
19,FAULT,Drive Motor Fault,Drive motor has a fault. Check logs for more info,true
30,WARN,Cellular Signal Quality POOR WARNING,Cellular signal quality is poor.,true
31,FAULT,Cellular Authentication Mode NOT READY,AT+CPIN? is not READY,true
40,WARN,MCU Ccenus Fault,MCU Reports a CCENUS Fault,TRUE
41,WARN,MCU Tcencus Fault,MCU Reports a Tcencus Fault,TRUE
42,FAULT,MCU High Cell Voltage Fault,MCU Reports a High Voltage Fault,TRUE
43,FAULT,MCU Low Cell Voltage Fault,MCU Reports a Low Voltage Fault,TRUE
44,FAULT,MCU High Temp Fault,MCU Reports a Temperature too High,TRUE
45,FAULT,MCU Low Temp Fault,MCU Reports a Temperature too Low,TRUE
46,FAULT,MCU Hardware Fault,MCU Reports a Hardware Fault,TRUE
