FaultID,EmergencyCode,EventID
1000,9024,100
1001,9024,101
1002,9025,103
1003,9041,111
1004,9056,120
1005,9057,121
1006,9072,122
1007,21008,200
1008,8976,202
1009,8977,203
1010,8982,207
1011,8983,208
1012,8984,209
1013,8985,211
1014,8992,213
1015,8976,310
1016,32864,301
1017,32864,302
1018,32880,306
1019,32881,307
1020,32912,308
1021,32928,309
1022,32944,320
1023,12818,402
1024,12817,404
1025,12833,406
1026,12576,407
1027,17184,500
1028,17184,501
1029,17168,503
1030,16928,600
1031,16928,601
1032,16912,603
1033,29248,804
1034,29280,826
1035,29264,805
1036,29536,802
1037,29552,803
1038,29521,827
1039,29584,828
1040,29585,829
1041,29594,833
1042,29328,870
1043,29792,2060
1044,29794,2062
1045,29264,1620
1046,29265,1621
1047,29266,1622
1048,21521,1001
1049,21553,1021
1050,21585,1011
1051,21610,1031
1052,21522,1002
1053,21586,1012
1054,21554,1022
1055,21611,1032
1056,21523,1003
1057,21555,1023
1058,21587,1013
1059,21612,1033
1060,21524,1004
1061,21556,1024
1062,21588,1014
1063,21613,1034
1064,21525,1005
1065,21557,1025
1066,21589,1015
1067,21614,1035
1068,21526,1006
1069,21558,1026
1070,21590,1016
1071,21599,1036
1072,21633,1121
1073,21634,1122
1074,21635,1123
1075,21825,1141
1076,21826,1142
1077,21827,1143
1078,21760,1100
1079,21761,1101
1080,21762,1102
1081,21763,1103
1082,21764,1104
1083,21765,1105
1084,33088,1204
1085,33024,1205
1086,33089,1206
1087,33090,1207
1088,33091,1208
1089,33092,1209
1090,33100,1221
1091,33101,1222
1092,33102,1223
1093,33103,1224
1094,33152,1240
1095,33025,1250
1096,33026,1251
1097,33027,1252
1098,33028,1253
1099,33029,1254
1100,33030,1255
1101,33031,1256
1102,33032,1257
1103,33033,1258
1104,33034,1259
1105,33035,1260
1106,33036,1261
1107,33037,1262
1108,33038,1263
1109,33039,1264
1110,33040,1265
1111,33041,1266
1112,33042,1267
1113,33043,1268
1114,33044,1269
1115,33045,1270
1116,33046,1271
1117,33047,1272
1118,33048,1273
1119,33049,1274
1120,33050,1275
1121,33051,1276
1122,33052,1277
1123,33053,1278
1124,33054,1279
1125,33055,1280
1126,33057,1235
1127,33058,1236
1128,33105,1281
1129,33137,1313
1130,33169,1345
1131,33269,1225
1132,21808,1430
1133,21792,1403
1134,21793,1420
1135,21794,1421
1136,21795,1422
1137,21796,1423
1138,33795,1400
1139,33796,1404
1140,33792,1406
1141,33793,1407
1142,33808,1409
1143,33809,1410
1144,33810,1411
1145,33811,1412
1146,33812,1413
1147,33813,1414
1148,33814,1415
1149,33815,1416
1150,33872,1450
1151,33874,1451
1152,33873,1460
1153,33888,1455
1154,33889,1456
1155,33888,1484
1156,33888,1486
1157,21799,1425
1158,21800,1426
1159,21801,1427
1160,13057,1700
1161,13058,1701
1162,13060,1709
1163,13058,1702
1164,29217,800
1165,29216,801
1166,29233,811
1167,29232,810
1168,29296,1735
1169,13104,1730
1170,13328,10000
1171,29200,1600
1172,29201,1601
1173,29202,1602
1174,29203,1603
1175,29204,1604
1176,29205,1605
1177,29206,1606
1178,29207,1607
1179,29208,1608
1180,33824,1900
1181,33824,1901
1182,33824,1903
1183,33824,1904
1184,33824,1905
1185,33824,1906
1186,33824,1907
1187,33824,1908
1188,33824,1909
1189,33824,1910
1190,33824,1911
1191,33824,1912
