timestamp_sec_floor,timestamp,/bms/mcu_summary.charge_state,/bms/mcu_summary.plug_state,/bms/mcu_summary.alerts,/bms/thermistor.min,/bms/thermistor.max,/bms/soc_summary.soc_percent,/bms/soc_summary.pack_kwhr,/bms/soc_summary.max_kwhr
1775586935,04/07/26 | 02:35:35 PM,1.0,0.0,0.0,,,74.88941955566406,1125.0,1500.0
1775586936,04/07/26 | 02:35:36 PM,0.0,0.0,0.0,30.0,37.0,75.01044464111328,1120.0,1500.0
1775586937,04/07/26 | 02:35:37 PM,1.0,0.0,0.0,,,75.31587219238281,1116.0,1500.0
1775586938,04/07/26 | 02:35:38 PM,1.0,0.0,0.0,30.0,37.0,75.68607330322266,1114.0,1500.0
1775586939,04/07/26 | 02:35:39 PM,1.0,0.0,0.0,,,76.02566528320312,1115.0,1500.0
1775586940,04/07/26 | 02:35:40 PM,0.0,0.0,0.0,30.0,37.0,75.61767578125,1121.0,1500.0
1775586941,04/07/26 | 02:35:41 PM,0.0,0.0,0.0,,,75.41663360595703,1125.0,1500.0
1775586942,04/07/26 | 02:35:42 PM,0.0,0.0,0.0,30.0,37.0,75.90293884277344,1123.0,1500.0
1775586943,04/07/26 | 02:35:43 PM,0.0,0.0,0.0,,,76.13919067382812,1126.0,1500.0
1775586944,04/07/26 | 02:35:44 PM,0.0,0.0,0.0,30.0,37.0,75.65816497802734,1122.0,1500.0
1775586945,04/07/26 | 02:35:45 PM,0.0,0.0,0.0,,,75.92125701904297,1115.0,1500.0
1775586946,04/07/26 | 02:35:46 PM,0.0,0.0,0.0,30.0,37.0,76.28653717041016,1109.0,1500.0
1775586947,04/07/26 | 02:35:47 PM,0.0,0.0,0.0,,,76.66033172607422,1100.0,1500.0
1775586948,04/07/26 | 02:35:48 PM,0.0,0.0,0.0,30.0,37.0,77.1033706665039,1093.0,1500.0
1775586949,04/07/26 | 02:35:49 PM,0.0,0.0,0.0,,,77.34965515136719,1101.0,1500.0
1775586950,04/07/26 | 02:35:50 PM,0.0,0.0,0.0,31.0,37.0,77.28163146972656,1094.0,1500.0
1775586951,04/07/26 | 02:35:51 PM,0.0,0.0,0.0,,,76.88514709472656,1085.0,1500.0
1775586952,04/07/26 | 02:35:52 PM,0.0,0.0,0.0,31.0,38.0,76.42938995361328,1079.0,1500.0
1775586953,04/07/26 | 02:35:53 PM,0.0,0.0,0.0,,,76.23515319824219,1089.0,1500.0
1775586954,04/07/26 | 02:35:54 PM,0.0,0.0,0.0,31.0,38.0,76.25584411621094,1085.0,1500.0
1775586955,04/07/26 | 02:35:55 PM,0.0,0.0,0.0,,,76.74601745605469,1077.0,1500.0
1775586956,04/07/26 | 02:35:56 PM,0.0,0.0,0.0,31.0,38.0,76.66853332519531,1086.0,1500.0
1775586957,04/07/26 | 02:35:57 PM,0.0,0.0,0.0,,,76.90353393554688,1079.0,1500.0
1775586958,04/07/26 | 02:35:58 PM,0.0,0.0,0.0,31.0,38.0,76.97895050048828,1080.0,1500.0
1775586959,04/07/26 | 02:35:59 PM,1.0,0.0,0.0,,,77.27047729492188,1089.0,1500.0
1775586960,04/07/26 | 02:36:00 PM,0.0,0.0,0.0,31.0,38.0,77.14315795898438,1098.0,1500.0
1775586961,04/07/26 | 02:36:01 PM,0.0,0.0,0.0,,,77.61361694335938,1104.0,1500.0
1775586962,04/07/26 | 02:36:02 PM,0.0,0.0,0.0,31.0,38.0,77.27266693115234,1099.0,1500.0
1775586963,04/07/26 | 02:36:03 PM,0.0,0.0,0.0,,,77.76246643066406,1105.0,1500.0
1775586964,04/07/26 | 02:36:04 PM,1.0,0.0,0.0,31.0,38.0,77.30025482177734,1110.0,1500.0
1775586965,04/07/26 | 02:36:05 PM,1.0,0.0,0.0,,,77.07930755615234,1109.0,1500.0
1775586966,04/07/26 | 02:36:06 PM,1.0,0.0,0.0,31.0,37.0,77.29865264892578,1116.0,1500.0
1775586967,04/07/26 | 02:36:07 PM,1.0,0.0,0.0,,,76.94514465332031,1110.0,1500.0
1775586968,04/07/26 | 02:36:08 PM,1.0,0.0,0.0,32.0,37.0,76.99691772460938,1120.0,1500.0
1775586969,04/07/26 | 02:36:09 PM,1.0,0.0,0.0,,,76.70146942138672,1125.0,1500.0
1775586970,04/07/26 | 02:36:10 PM,1.0,0.0,0.0,32.0,37.0,77.11431121826172,1131.0,1500.0
1775586971,04/07/26 | 02:36:11 PM,1.0,0.0,0.0,,,77.5086669921875,1125.0,1500.0
1775586972,04/07/26 | 02:36:12 PM,1.0,0.0,0.0,32.0,37.0,77.65087890625,1125.0,1500.0
1775586973,04/07/26 | 02:36:13 PM,1.0,0.0,0.0,,,77.47991943359375,1129.0,1500.0
1775586974,04/07/26 | 02:36:14 PM,1.0,0.0,0.0,32.0,37.0,77.27046203613281,1138.0,1500.0
1775586975,04/07/26 | 02:36:15 PM,1.0,0.0,0.0,,,77.02547454833984,1140.0,1500.0
1775586976,04/07/26 | 02:36:16 PM,1.0,0.0,0.0,32.0,38.0,77.2432861328125,1143.0,1500.0
1775586977,04/07/26 | 02:36:17 PM,0.0,0.0,0.0,,,76.84076690673828,1146.0,1500.0
1775586978,04/07/26 | 02:36:18 PM,0.0,0.0,0.0,32.0,38.0,77.040771484375,1145.0,1500.0
1775586979,04/07/26 | 02:36:19 PM,1.0,0.0,0.0,,,76.88658905029297,1154.0,1500.0
1775586980,04/07/26 | 02:36:20 PM,1.0,0.0,0.0,32.0,38.0,76.4131088256836,1154.0,1500.0
